ENSECAG00000000002	ENST00000359429
ENSECAG00000000003	ENST00000587975
ENSECAG00000000004	ENST00000534961
ENSECAG00000000005	ENST00000396423
ENSECAG00000000006	ENST00000259271
ENSECAG00000000007	ENST00000312184
ENSECAG00000000008	ENST00000530797
ENSECAG00000000009	ENST00000340438
ENSECAG00000000010	ENST00000295628
ENSECAG00000000011	ENST00000412232
ENSECAG00000000012	ENST00000262848
ENSECAG00000000013	ENST00000375353
ENSECAG00000000014	ENST00000327773
ENSECAG00000000015	ENST00000376454
ENSECAG00000000015	ENST00000376454
ENSECAG00000000015	ENST00000376452
ENSECAG00000000016	ENST00000242505
ENSECAG00000000017	ENST00000290913
ENSECAG00000000018	ENST00000281772
ENSECAG00000000019	ENST00000355151
ENSECAG00000000020	ENST00000254250
ENSECAG00000000021	ENST00000375180
ENSECAG00000000022	ENST00000393409
ENSECAG00000000023	ENST00000375151
ENSECAG00000000024	ENST00000276410
ENSECAG00000000025	ENST00000375135
ENSECAG00000000026	ENST00000381174
ENSECAG00000000029	ENST00000358935
ENSECAG00000000030	ENST00000359204
ENSECAG00000000031	ENST00000322680
ENSECAG00000000034	ENST00000536749
ENSECAG00000000035	ENST00000360845
ENSECAG00000000036	ENST00000218439
ENSECAG00000000037	ENST00000259667
ENSECAG00000000039	ENST00000375006
ENSECAG00000000040	ENST00000374319
ENSECAG00000000041	ENST00000274673
ENSECAG00000000042	ENST00000545588
ENSECAG00000000043	ENST00000289957
ENSECAG00000000046	ENST00000614220
ENSECAG00000000047	ENST00000271373
ENSECAG00000000048	ENST00000246548
ENSECAG00000000050	ENST00000335327
ENSECAG00000000051	ENST00000263341
ENSECAG00000000052	ENST00000397833
ENSECAG00000000053	ENST00000223029
ENSECAG00000000054	ENST00000616880
ENSECAG00000000056	ENST00000241274
ENSECAG00000000056	ENST00000241274
ENSECAG00000000057	ENST00000261249
ENSECAG00000000058	ENST00000265431
ENSECAG00000000059	ENST00000325897
ENSECAG00000000060	ENST00000394391
ENSECAG00000000063	ENST00000617711
ENSECAG00000000064	ENST00000622804
ENSECAG00000000065	ENST00000392607
ENSECAG00000000066	ENST00000261182
ENSECAG00000000068	ENST00000330807
ENSECAG00000000072	ENST00000452324
ENSECAG00000000073	ENST00000620181
ENSECAG00000000073	ENST00000620181
ENSECAG00000000074	ENST00000320095
ENSECAG00000000076	ENST00000630425
ENSECAG00000000077	ENST00000614585
ENSECAG00000000080	ENST00000375234
ENSECAG00000000081	ENST00000535784
ENSECAG00000000084	ENST00000366812
ENSECAG00000000085	ENST00000264595
ENSECAG00000000087	ENST00000620202
ENSECAG00000000088	ENST00000607131
ENSECAG00000000090	ENST00000542547
ENSECAG00000000091	ENST00000358769
ENSECAG00000000092	ENST00000344586
ENSECAG00000000093	ENST00000304790
ENSECAG00000000094	ENST00000335040
ENSECAG00000000095	ENST00000370508
ENSECAG00000000096	ENST00000520179
ENSECAG00000000097	ENST00000400380
ENSECAG00000000099	ENST00000394279
ENSECAG00000000100	ENST00000398030
ENSECAG00000000101	ENST00000278060
ENSECAG00000000103	ENST00000393537
ENSECAG00000000104	ENST00000611540
ENSECAG00000000105	ENST00000316170
ENSECAG00000000105	ENST00000265012
ENSECAG00000000106	ENST00000473453
ENSECAG00000000107	ENST00000267953
ENSECAG00000000108	ENST00000506581
ENSECAG00000000110	ENST00000298139
ENSECAG00000000110	ENST00000298139
ENSECAG00000000113	ENST00000343744
ENSECAG00000000114	ENST00000617911
ENSECAG00000000116	ENST00000350612
ENSECAG00000000116	ENST00000464744
ENSECAG00000000117	ENST00000309235
ENSECAG00000000119	ENST00000423537
ENSECAG00000000120	ENST00000382080
ENSECAG00000000121	ENST00000536525
ENSECAG00000000121	ENST00000397909
ENSECAG00000000122	ENST00000475764
ENSECAG00000000124	ENST00000314797
ENSECAG00000000125	ENST00000361781
ENSECAG00000000126	ENST00000230301
ENSECAG00000000127	ENST00000271764
ENSECAG00000000127	ENST00000271764
ENSECAG00000000129	ENST00000600377
ENSECAG00000000130	ENST00000401443
ENSECAG00000000131	ENST00000322475
ENSECAG00000000132	ENST00000378069
ENSECAG00000000133	ENST00000262817
ENSECAG00000000134	ENST00000373930
ENSECAG00000000135	ENST00000360190
ENSECAG00000000136	ENST00000217289
ENSECAG00000000138	ENST00000404590
ENSECAG00000000139	ENST00000326085
ENSECAG00000000140	ENST00000376016
ENSECAG00000000141	ENST00000437951
ENSECAG00000000143	ENST00000280191
ENSECAG00000000144	ENST00000380872
ENSECAG00000000147	ENST00000623963
ENSECAG00000000149	ENST00000379510
ENSECAG00000000151	ENST00000538603
ENSECAG00000000152	ENST00000228280
ENSECAG00000000153	ENST00000380682
ENSECAG00000000154	ENST00000378887
ENSECAG00000000156	ENST00000368808
ENSECAG00000000157	ENST00000295206
ENSECAG00000000158	ENST00000371847
ENSECAG00000000159	ENST00000299191
ENSECAG00000000160	ENST00000564811
ENSECAG00000000161	ENST00000409163
ENSECAG00000000162	ENST00000389044
ENSECAG00000000162	ENST00000283943
ENSECAG00000000162	ENST00000389044
ENSECAG00000000162	ENST00000389045
ENSECAG00000000164	ENST00000419782
ENSECAG00000000166	ENST00000392056
ENSECAG00000000168	ENST00000263341
ENSECAG00000000170	ENST00000217246
ENSECAG00000000171	ENST00000335681
ENSECAG00000000173	ENST00000261918
ENSECAG00000000174	ENST00000312358
ENSECAG00000000176	ENST00000396707
ENSECAG00000000178	ENST00000615601
ENSECAG00000000179	ENST00000262631
ENSECAG00000000182	ENST00000277526
ENSECAG00000000183	ENST00000378653
ENSECAG00000000184	ENST00000353704
ENSECAG00000000185	ENST00000219334
ENSECAG00000000186	ENST00000391877
ENSECAG00000000187	ENST00000451315
ENSECAG00000000188	ENST00000460469
ENSECAG00000000190	ENST00000324444
ENSECAG00000000193	ENST00000371320
