ENSECAT00000000009	ENST00000359429
ENSECAT00000000001	ENST00000587975
ENSECAT00000000010	ENST00000534961
ENSECAT00000000018	ENST00000396423
ENSECAT00000000079	ENST00000259271
ENSECAT00000000005	ENST00000312184
ENSECAT00000000003	ENST00000530797
ENSECAT00000000002	ENST00000340438
ENSECAT00000000004	ENST00000295628
ENSECAT00000000021	ENST00000412232
ENSECAT00000000007	ENST00000262848
ENSECAT00000000006	ENST00000375353
ENSECAT00000000011	ENST00000327773
ENSECAT00000000042	ENST00000376454
ENSECAT00000000045	ENST00000376454
ENSECAT00000000047	ENST00000376452
ENSECAT00000000019	ENST00000242505
ENSECAT00000000012	ENST00000290913
ENSECAT00000000020	ENST00000281772
ENSECAT00000000013	ENST00000355151
ENSECAT00000000014	ENST00000254250
ENSECAT00000000015	ENST00000375180
ENSECAT00000000016	ENST00000393409
ENSECAT00000000017	ENST00000375151
ENSECAT00000000033	ENST00000276410
ENSECAT00000000027	ENST00000375135
ENSECAT00000000022	ENST00000381174
ENSECAT00000000029	ENST00000358935
ENSECAT00000000052	ENST00000359204
ENSECAT00000001588	ENST00000322680
ENSECAT00000000030	ENST00000536749
ENSECAT00000000028	ENST00000360845
ENSECAT00000000031	ENST00000218439
ENSECAT00000000044	ENST00000259667
ENSECAT00000000049	ENST00000375006
ENSECAT00000000069	ENST00000374319
ENSECAT00000000034	ENST00000274673
ENSECAT00000000148	ENST00000545588
ENSECAT00000000075	ENST00000289957
ENSECAT00000000067	ENST00000614220
ENSECAT00000000037	ENST00000271373
ENSECAT00000000153	ENST00000246548
ENSECAT00000000077	ENST00000335327
ENSECAT00000000066	ENST00000263341
ENSECAT00000000041	ENST00000397833
ENSECAT00000000055	ENST00000223029
ENSECAT00000000039	ENST00000616880
ENSECAT00000000043	ENST00000241274
ENSECAT00000000053	ENST00000241274
ENSECAT00000000056	ENST00000261249
ENSECAT00000000085	ENST00000265431
ENSECAT00000000061	ENST00000325897
ENSECAT00000000090	ENST00000394391
ENSECAT00000000057	ENST00000617711
ENSECAT00000000058	ENST00000622804
ENSECAT00000000064	ENST00000392607
ENSECAT00000000225	ENST00000261182
ENSECAT00000000071	ENST00000330807
ENSECAT00000000086	ENST00000452324
ENSECAT00000000152	ENST00000620181
ENSECAT00000000157	ENST00000620181
ENSECAT00000000076	ENST00000320095
ENSECAT00000000062	ENST00000630425
ENSECAT00000000091	ENST00000614585
ENSECAT00000000099	ENST00000375234
ENSECAT00000000070	ENST00000535784
ENSECAT00000000107	ENST00000366812
ENSECAT00000000104	ENST00000264595
ENSECAT00000000106	ENST00000620202
ENSECAT00000000110	ENST00000607131
ENSECAT00000000116	ENST00000542547
ENSECAT00000000139	ENST00000358769
ENSECAT00000000074	ENST00000344586
ENSECAT00000000081	ENST00000304790
ENSECAT00000000078	ENST00000335040
ENSECAT00000000188	ENST00000370508
ENSECAT00000000191	ENST00000520179
ENSECAT00000000268	ENST00000400380
ENSECAT00000002658	ENST00000394279
ENSECAT00000000082	ENST00000398030
ENSECAT00000000129	ENST00000278060
ENSECAT00000000093	ENST00000393537
ENSECAT00000000098	ENST00000611540
ENSECAT00000000133	ENST00000316170
ENSECAT00000000147	ENST00000265012
ENSECAT00000000158	ENST00000473453
ENSECAT00000000095	ENST00000267953
ENSECAT00000000084	ENST00000506581
ENSECAT00000000380	ENST00000298139
ENSECAT00000000424	ENST00000298139
ENSECAT00000000306	ENST00000343744
ENSECAT00000000166	ENST00000617911
ENSECAT00000000274	ENST00000350612
ENSECAT00000000290	ENST00000464744
ENSECAT00000000103	ENST00000309235
ENSECAT00000000097	ENST00000423537
ENSECAT00000000102	ENST00000382080
ENSECAT00000000151	ENST00000536525
ENSECAT00000000155	ENST00000397909
ENSECAT00000000254	ENST00000475764
ENSECAT00000000480	ENST00000314797
ENSECAT00000000156	ENST00000361781
ENSECAT00000000143	ENST00000230301
ENSECAT00000000249	ENST00000271764
ENSECAT00000000281	ENST00000271764
ENSECAT00000000115	ENST00000600377
ENSECAT00000000120	ENST00000401443
ENSECAT00000000100	ENST00000322475
ENSECAT00000001417	ENST00000378069
ENSECAT00000000124	ENST00000262817
ENSECAT00000000118	ENST00000373930
ENSECAT00000000310	ENST00000360190
ENSECAT00000000319	ENST00000217289
ENSECAT00000000199	ENST00000404590
ENSECAT00000000122	ENST00000326085
ENSECAT00000000335	ENST00000376016
ENSECAT00000000498	ENST00000437951
ENSECAT00000000140	ENST00000280191
ENSECAT00000000142	ENST00000380872
ENSECAT00000000119	ENST00000623963
ENSECAT00000000293	ENST00000379510
ENSECAT00000000138	ENST00000538603
ENSECAT00000000221	ENST00000228280
ENSECAT00000000154	ENST00000380682
ENSECAT00000000121	ENST00000378887
ENSECAT00000000127	ENST00000368808
ENSECAT00000000117	ENST00000295206
ENSECAT00000000181	ENST00000371847
ENSECAT00000000137	ENST00000299191
ENSECAT00000000149	ENST00000564811
ENSECAT00000000616	ENST00000409163
ENSECAT00000000727	ENST00000389044
ENSECAT00000000767	ENST00000283943
ENSECAT00000000997	ENST00000389044
ENSECAT00000001013	ENST00000389045
ENSECAT00000000126	ENST00000419782
ENSECAT00000000182	ENST00000392056
ENSECAT00000000217	ENST00000263341
ENSECAT00000000136	ENST00000217246
ENSECAT00000000295	ENST00000335681
ENSECAT00000000230	ENST00000261918
ENSECAT00000000161	ENST00000312358
ENSECAT00000000171	ENST00000396707
ENSECAT00000000260	ENST00000615601
ENSECAT00000000180	ENST00000262631
ENSECAT00000000144	ENST00000277526
ENSECAT00000000141	ENST00000378653
ENSECAT00000000183	ENST00000353704
