ENSECAG00000000002	ENSG00000197713
ENSECAG00000000003	ENSG00000198858
ENSECAG00000000004	ENSG00000120925
ENSECAG00000000005	ENSG00000164749
ENSECAG00000000006	ENSG00000136750
ENSECAG00000000007	ENSG00000175606
ENSECAG00000000008	ENSG00000177600
ENSECAG00000000009	ENSG00000189369
ENSECAG00000000010	ENSG00000163428
ENSECAG00000000011	ENSG00000020181
ENSECAG00000000012	ENSG00000183943
ENSECAG00000000013	ENSG00000184497
ENSECAG00000000014	ENSG00000183087
ENSECAG00000000015	ENSG00000120549
ENSECAG00000000015	ENSG00000120549
ENSECAG00000000015	ENSG00000120549
ENSECAG00000000016	ENSG00000138286
ENSECAG00000000017	ENSG00000159685
ENSECAG00000000018	ENSG00000144445
ENSECAG00000000019	ENSG00000172590
ENSECAG00000000020	ENSG00000131931
ENSECAG00000000021	ENSG00000184083
ENSECAG00000000022	ENSG00000114554
ENSECAG00000000023	ENSG00000158526
ENSECAG00000000024	ENSG00000147434
ENSECAG00000000025	ENSG00000102302
ENSECAG00000000026	ENSG00000124343
ENSECAG00000000029	ENSG00000198060
ENSECAG00000000030	ENSG00000148690
ENSECAG00000000031	ENSG00000148660
ENSECAG00000000034	ENSG00000102924
ENSECAG00000000035	ENSG00000130119
ENSECAG00000000036	ENSG00000102316
ENSECAG00000000037	ENSG00000137133
ENSECAG00000000039	ENSG00000158571
ENSECAG00000000040	ENSG00000030419
ENSECAG00000000041	ENSG00000145975
ENSECAG00000000042	ENSG00000058673
ENSECAG00000000043	ENSG00000147432
ENSECAG00000000046	ENSG00000148541
ENSECAG00000000047	ENSG00000143158
ENSECAG00000000048	ENSG00000126261
ENSECAG00000000050	ENSG00000132970
ENSECAG00000000051	ENSG00000125538
ENSECAG00000000052	ENSG00000214215
ENSECAG00000000053	ENSG00000106305
ENSECAG00000000054	ENSG00000102970
ENSECAG00000000056	ENSG00000121871
ENSECAG00000000056	ENSG00000121871
ENSECAG00000000057	ENSG00000126814
ENSECAG00000000058	ENSG00000104327
ENSECAG00000000059	ENSG00000177182
ENSECAG00000000060	ENSG00000005194
ENSECAG00000000063	ENSG00000276595
ENSECAG00000000064	ENSG00000154582
ENSECAG00000000065	ENSG00000197177
ENSECAG00000000066	ENSG00000187109
ENSECAG00000000068	ENSG00000158578
ENSECAG00000000072	ENSG00000184368
ENSECAG00000000073	ENSG00000276286
ENSECAG00000000073	ENSG00000276286
ENSECAG00000000074	ENSG00000176845
ENSECAG00000000076	ENSG00000281230
ENSECAG00000000077	ENSG00000107864
ENSECAG00000000080	ENSG00000158122
ENSECAG00000000081	ENSG00000165983
ENSECAG00000000084	ENSG00000182827
ENSECAG00000000085	ENSG00000038002
ENSECAG00000000087	ENST00000620202
ENSECAG00000000088	ENSG00000079393
ENSECAG00000000090	ENSG00000107968
ENSECAG00000000091	ENSG00000108187
ENSECAG00000000092	ENSG00000119919
ENSECAG00000000093	ENSG00000169953
ENSECAG00000000094	ENSG00000186943
ENSECAG00000000095	ENSG00000120053
ENSECAG00000000096	ENSG00000168575
ENSECAG00000000097	ENSG00000100031
ENSECAG00000000099	ENSG00000103034
ENSECAG00000000100	ENSG00000100823
ENSECAG00000000101	ENSG00000148832
ENSECAG00000000103	ENSG00000213337
ENSECAG00000000104	ENSG00000185252
ENSECAG00000000105	ENSG00000111846
ENSECAG00000000105	ENSG00000111846
ENSECAG00000000106	ENSG00000239264
ENSECAG00000000107	ENSG00000140379
ENSECAG00000000108	ENSG00000163682
ENSECAG00000000110	ENSG00000165392
ENSECAG00000000110	ENSG00000165392
ENSECAG00000000113	ENSG00000162390
ENSECAG00000000114	ENSG00000172179
ENSECAG00000000116	ENSG00000102710
ENSECAG00000000116	ENSG00000102710
ENSECAG00000000117	ENSG00000173258
ENSECAG00000000119	ENSG00000204930
ENSECAG00000000120	ENSG00000185053
ENSECAG00000000121	ENSG00000067798
ENSECAG00000000121	ENSG00000067798
ENSECAG00000000122	ENSG00000119125
ENSECAG00000000124	ENSG00000181789
ENSECAG00000000125	ENSG00000198964
ENSECAG00000000126	ENSG00000112539
ENSECAG00000000127	ENSG00000143486
ENSECAG00000000127	ENSG00000143486
ENSECAG00000000129	ENSG00000064607
ENSECAG00000000130	ENSG00000099957
