ENSECAG00000000001      MTPAP
ENSECAG00000000002	RPE
ENSECAG00000000003	R3HDM4
ENSECAG00000000004	RNF170
ENSECAG00000000005	HNF4G
ENSECAG00000000006	GAD2
ENSECAG00000000007	TMEM70
ENSECAG00000000008	RPLP2
ENSECAG00000000009	GSPT2
ENSECAG00000000010	LRRC58
ENSECAG00000000011	ADGRA2
ENSECAG00000000012	PRKX
ENSECAG00000000013	TMEM255B
ENSECAG00000000014	GAS6
ENSECAG00000000016	FAM149B1
ENSECAG00000000017	CHCHD6
ENSECAG00000000018	KANSL1L
ENSECAG00000000019	MRPL52
ENSECAG00000000020	THAP1
ENSECAG00000000021	FAM120C
ENSECAG00000000022	PLXNA1
ENSECAG00000000023	TSR2
ENSECAG00000000024	CHRNA6
ENSECAG00000000025	FGD1
ENSECAG00000000026	XG
ENSECAG00000000029	MARCH5
ENSECAG00000000030	FRA10AC1
ENSECAG00000000031	CAMK2G
ENSECAG00000000034	CBLN1
ENSECAG00000000035	GNL3L
ENSECAG00000000036	MAGED2
ENSECAG00000000037	HINT2
ENSECAG00000000039	PFKFB1
ENSECAG00000000040	IKZF2
ENSECAG00000000041	FAM217A
ENSECAG00000000042	ZC3H11A
ENSECAG00000000043	CHRNB3
ENSECAG00000000046	FAM13C
ENSECAG00000000047	MPC2
ENSECAG00000000048	UBA2
ENSECAG00000000050	WASF3
ENSECAG00000000051	IL1B
ENSECAG00000000052	C12orf74
ENSECAG00000000053	AIMP2
ENSECAG00000000054	CCL17
ENSECAG00000000057	TRMT5
ENSECAG00000000058	CALB1
ENSECAG00000000059	CLVS1
ENSECAG00000000060	CIAPIN1
ENSECAG00000000063	PTCHD3
ENSECAG00000000064	TCEB1
ENSECAG00000000065	ADGRA1
ENSECAG00000000066	NAP1L1
ENSECAG00000000068	ALAS2
ENSECAG00000000072	MAP7D2
ENSECAG00000000074	METRNL
ENSECAG00000000076	SERTAD4
ENSECAG00000000077	CPEB3
ENSECAG00000000080	AAED1
ENSECAG00000000081	PTER
ENSECAG00000000084	ACBD3
ENSECAG00000000085	AGA
ENSECAG00000000087	ENST00000620202
ENSECAG00000000088	DUSP13
ENSECAG00000000090	MAP3K8
ENSECAG00000000091	PBLD
ENSECAG00000000092	NKX2-3
ENSECAG00000000093	HSFY2
ENSECAG00000000094	OR13C8
ENSECAG00000000095	GOT1
ENSECAG00000000096	SLC20A2
ENSECAG00000000097	GGT1
ENSECAG00000000099	NDRG4
ENSECAG00000000100	APEX1
ENSECAG00000000101	PAOX
ENSECAG00000000103	ANKRD39
ENSECAG00000000104	ZNF74
ENSECAG00000000106	TXNDC5
ENSECAG00000000107	BCL2A1
ENSECAG00000000108	RPL9
ENSECAG00000000113	ACOT11
ENSECAG00000000114	PRL
ENSECAG00000000117	ZNF483
ENSECAG00000000119	FAM221B
ENSECAG00000000120	SGCZ
ENSECAG00000000122	GDA
ENSECAG00000000124	COPG1
ENSECAG00000000125	SGMS1
ENSECAG00000000126	C6orf118
ENSECAG00000000129	SUGP2
ENSECAG00000000130	P2RX6
ENSECAG00000000131	FAM124A
ENSECAG00000000132	MAOB
ENSECAG00000000133	TMEM59L
ENSECAG00000000134	MEGF9
ENSECAG00000000135	CDK5RAP2
ENSECAG00000000136	FERMT1
ENSECAG00000000138	ACVR2A
ENSECAG00000000139	EFCAB12
ENSECAG00000000140	YME1L1
ENSECAG00000000141	PTCH1
ENSECAG00000000143	SPATA4
ENSECAG00000000144	AKR1C1
ENSECAG00000000147	AP002962.1
ENSECAG00000000149	CNKSR2
ENSECAG00000000151	FAM90A1
ENSECAG00000000152	KITLG
ENSECAG00000000153	FRMPD4
ENSECAG00000000154	SDHAF1
ENSECAG00000000156	MMP21
ENSECAG00000000157	EN1
ENSECAG00000000158	SPATA6
ENSECAG00000000159	C16orf78
ENSECAG00000000160	COX5A
ENSECAG00000000161	DPP10
ENSECAG00000000164	SPATA31D4
ENSECAG00000000166	SPHKAP
ENSECAG00000000168	IL1B
ENSECAG00000000170	MACROD2
ENSECAG00000000171	NPAS2
ENSECAG00000000173	SEMA7A
ENSECAG00000000174	SPEG
ENSECAG00000000176	ZDHHC4
ENSECAG00000000178	RUNX1T1
ENSECAG00000000179	SCN1B
ENSECAG00000000182	LCN9
ENSECAG00000000183	CFAP47
ENSECAG00000000184	CREB3
ENSECAG00000000185	SMPD3
ENSECAG00000000186	DEGS1
ENSECAG00000000187	NOL7
ENSECAG00000000188	NMD3
ENSECAG00000000190	SYNE4
ENSECAG00000000193	SSBP3
ENSECAG00000000194	ZMYM5
ENSECAG00000000195	GUCY1B3
ENSECAG00000000196	MMP15
ENSECAG00000000197	TLR3
ENSECAG00000000199	RGS3
ENSECAG00000000202	MTNR1A
ENSECAG00000000203	TRPA1
ENSECAG00000000204	TESK1
ENSECAG00000000205	CCDC110
ENSECAG00000000206	C6orf201
ENSECAG00000000207	ACTA1
ENSECAG00000000210	CFAP47
ENSECAG00000000212	DPY19L3
ENSECAG00000000214	IL18RAP
ENSECAG00000000216	PLP2
ENSECAG00000000217	MTSS1L
ENSECAG00000000218	LHX4
ENSECAG00000000220	STK35
ENSECAG00000000221	ETV5
ENSECAG00000000223	AKR1A1
ENSECAG00000000224	BCS1L
ENSECAG00000000225	CATSPERG
ENSECAG00000000226	C6orf136
ENSECAG00000000229	GNAI1
ENSECAG00000000231	CACNB4
ENSECAG00000000232	WDFY2
ENSECAG00000000233	TMPRSS3
ENSECAG00000000234	GPC6
ENSECAG00000000235	MTBP
ENSECAG00000000237	DGKH
ENSECAG00000000238	BOK
ENSECAG00000000240	BCHE
ENSECAG00000000241	IGHVII-23-1
ENSECAG00000000242	AP2M1
ENSECAG00000000243	OCM2
ENSECAG00000000244	ZNF423
ENSECAG00000000246	GTF2F1
ENSECAG00000000250	CILP2
ENSECAG00000000251	AP002962.1
ENSECAG00000000252	THAP4
ENSECAG00000000253	WAS
ENSECAG00000000257	CNNM1
ENSECAG00000000258	STX11
ENSECAG00000000260	STAU2
ENSECAG00000000261	IDH3B
ENSECAG00000000263	SLC35A2
ENSECAG00000000264	DCT
ENSECAG00000000265	CYB5B
ENSECAG00000000266	RYBP
ENSECAG00000000267	SLC5A1
ENSECAG00000000268	CST7
ENSECAG00000000269	CDC37L1
ENSECAG00000000271	APBA1
ENSECAG00000000272	RTP2
ENSECAG00000000273	DLST
ENSECAG00000000275	AMER2
ENSECAG00000000276	DNAL1
ENSECAG00000000277	IFNL3
ENSECAG00000000278	FCAMR
ENSECAG00000000279	FARS2
ENSECAG00000000280	BCO1
ENSECAG00000000281	SHCBP1
ENSECAG00000000282	ABCD4
ENSECAG00000000283	F13B
ENSECAG00000000284	USP18
ENSECAG00000000285	PRAF2
ENSECAG00000000286	HIRA
ENSECAG00000000288	IL1R2
ENSECAG00000000289	LYZL1
ENSECAG00000000291	PLCG2
ENSECAG00000000292	THSD7A
ENSECAG00000000295	MRE11A
ENSECAG00000000296	LAMC3
ENSECAG00000000297	BPIFA2
ENSECAG00000000299	LRRC8E
ENSECAG00000000300	ARL3
ENSECAG00000000301	ZNF341
ENSECAG00000000302	PMM1
ENSECAG00000000303	SLC2A1
ENSECAG00000000305	AP002962.1
ENSECAG00000000306	GLRX3
ENSECAG00000000307	BACH1
ENSECAG00000000308	RICTOR
ENSECAG00000000309	TRDV3
ENSECAG00000000310	DGKB
ENSECAG00000000311	EIF4ENIF1
ENSECAG00000000313	ECI2
ENSECAG00000000314	SART3
ENSECAG00000000315	LRP1B
ENSECAG00000000316	ULBP1
ENSECAG00000000317	KCNH5
ENSECAG00000000319	SRP14
ENSECAG00000000320	TUSC3
ENSECAG00000000321	AP002962.1
ENSECAG00000000322	TMEM169
ENSECAG00000000323	ABCA10
ENSECAG00000000324	RASEF
ENSECAG00000000325	HLA-A
ENSECAG00000000326	FAM131A
ENSECAG00000000327	RNF181
ENSECAG00000000328	WDR70
ENSECAG00000000329	C6orf62
ENSECAG00000000330	TEX33
ENSECAG00000000331	KDM1B
ENSECAG00000000332	EIF2B2
ENSECAG00000000336	COMP
ENSECAG00000000337	ANKAR
ENSECAG00000000340	CNTN5
ENSECAG00000000341	TUBB2B
ENSECAG00000000343	HACD4
ENSECAG00000000344	PON1
ENSECAG00000000345	ZNF112
ENSECAG00000000346	EDRF1
ENSECAG00000000347	LCN9
ENSECAG00000000348	EIF2AK4
ENSECAG00000000349	SAMD5
ENSECAG00000000350	COQ4
ENSECAG00000000351	YIPF6
ENSECAG00000000352	IKBKE
ENSECAG00000000353	HPSE2
ENSECAG00000000356	MPP5
ENSECAG00000000358	MT1E
ENSECAG00000000360	RGS18
ENSECAG00000000361	HEATR3
ENSECAG00000000362	STXBP5
ENSECAG00000000363	MT1E
ENSECAG00000000364	PIN4
ENSECAG00000000366	HEXDC
ENSECAG00000000367	RFC2
ENSECAG00000000368	MT1E
ENSECAG00000000369	CERS4
ENSECAG00000000370	RPS11
ENSECAG00000000371	KRCC1
ENSECAG00000000372	ARL1
ENSECAG00000000373	LOXL3
ENSECAG00000000374	PLEKHG7
ENSECAG00000000375	SNU13
