Ensembl Gene ID	Ensembl Transcript ID
ENSECAG00000000001	ENSECAT00000000008
ENSECAG00000000002	ENSECAT00000000009
ENSECAG00000000003	ENSECAT00000000001
ENSECAG00000000004	ENSECAT00000000010
ENSECAG00000000005	ENSECAT00000000018
ENSECAG00000000006	ENSECAT00000000079
ENSECAG00000000007	ENSECAT00000000005
ENSECAG00000000008	ENSECAT00000000003
ENSECAG00000000009	ENSECAT00000000002
ENSECAG00000000010	ENSECAT00000000004
ENSECAG00000000011	ENSECAT00000000021
ENSECAG00000000012	ENSECAT00000000007
ENSECAG00000000013	ENSECAT00000000006
ENSECAG00000000014	ENSECAT00000000011
ENSECAG00000000015	ENSECAT00000000042
ENSECAG00000000015	ENSECAT00000000045
ENSECAG00000000015	ENSECAT00000000047
ENSECAG00000000016	ENSECAT00000000019
ENSECAG00000000017	ENSECAT00000000012
ENSECAG00000000018	ENSECAT00000000020
ENSECAG00000000019	ENSECAT00000000013
ENSECAG00000000020	ENSECAT00000000014
ENSECAG00000000021	ENSECAT00000000015
ENSECAG00000000022	ENSECAT00000000016
ENSECAG00000000023	ENSECAT00000000017
ENSECAG00000000024	ENSECAT00000000033
ENSECAG00000000025	ENSECAT00000000027
ENSECAG00000000026	ENSECAT00000000022
ENSECAG00000000027	ENSECAT00000000024
ENSECAG00000000028	ENSECAT00000000023
ENSECAG00000000029	ENSECAT00000000029
ENSECAG00000000030	ENSECAT00000000052
ENSECAG00000000031	ENSECAT00000001588
ENSECAG00000000032	ENSECAT00000000025
ENSECAG00000000033	ENSECAT00000000026
ENSECAG00000000034	ENSECAT00000000030
ENSECAG00000000035	ENSECAT00000000028
ENSECAG00000000036	ENSECAT00000000031
ENSECAG00000000037	ENSECAT00000000044
ENSECAG00000000038	ENSECAT00000000032
ENSECAG00000000039	ENSECAT00000000049
ENSECAG00000000040	ENSECAT00000000069
ENSECAG00000000041	ENSECAT00000000034
ENSECAG00000000042	ENSECAT00000000148
ENSECAG00000000043	ENSECAT00000000075
ENSECAG00000000044	ENSECAT00000000035
ENSECAG00000000045	ENSECAT00000000036
ENSECAG00000000046	ENSECAT00000000067
ENSECAG00000000047	ENSECAT00000000037
ENSECAG00000000048	ENSECAT00000000153
ENSECAG00000000049	ENSECAT00000000038
ENSECAG00000000050	ENSECAT00000000077
ENSECAG00000000051	ENSECAT00000000066
ENSECAG00000000052	ENSECAT00000000041
ENSECAG00000000053	ENSECAT00000000055
ENSECAG00000000054	ENSECAT00000000039
ENSECAG00000000055	ENSECAT00000000040
ENSECAG00000000056	ENSECAT00000000043
